INFO 2025-01-27 17:21:23,456 123 Timestamp,ChangeType,FilePath,ServiceUser,ModifiedBy,FileType,FileSize,Extension,LastAccessed,LastModified,Error
INFO 2025-01-27 17:21:24,123 124 2025-01-27 17:21:24.123,Created,C:\TestFolder\document.txt,NT AUTHORITY\SYSTEM,DOMAIN\TestUser,File,1024,.txt,2025-01-27 17:21:24.123,2025-01-27 17:21:24.123,
INFO 2025-01-27 17:21:25,456 125 2025-01-27 17:21:25.456,Changed,C:\TestFolder\document.txt,NT AUTHORITY\SYSTEM,DOMAIN\TestUser,File,2048,.txt,2025-01-27 17:21:25.456,2025-01-27 17:21:25.456,
INFO 2025-01-27 17:21:26,789 126 2025-01-27 17:21:26.789,Created,C:\TestFolder\subfolder,NT AUTHORITY\SYSTEM,DOMAIN\TestUser,Directory,0,,2025-01-27 17:21:26.789,2025-01-27 17:21:26.789,
INFO 2025-01-27 17:21:27,012 127 2025-01-27 17:21:27.012,Created,C:\TestFolder\subfolder\image.jpg,NT AUTHORITY\SYSTEM,DOMAIN\TestUser,File,51200,.jpg,2025-01-27 17:21:27.012,2025-01-27 17:21:27.012,
ERROR 2025-01-27 17:21:28,345 128 2025-01-27 17:21:28.345,Deleted,C:\TestFolder\restricted.dat,NT AUTHORITY\SYSTEM,DOMAIN\TestUser,File,0,.dat,2025-01-27 17:21:28.345,2025-01-27 17:21:28.345,Access denied
INFO 2025-01-27 17:21:29,678 129 2025-01-27 17:21:29.678,Renamed,C:\TestFolder\document_old.txt,NT AUTHORITY\SYSTEM,DOMAIN\TestUser,File,2048,.txt,2025-01-27 17:21:29.678,2025-01-27 17:21:29.678,
INFO 2025-01-27 17:21:30,901 130 2025-01-27 17:21:30.901,Created,C:\TestFolder\report.xlsx,NT AUTHORITY\SYSTEM,DOMAIN\TestUser,File,15360,.xlsx,2025-01-27 17:21:30.901,2025-01-27 17:21:30.901,
INFO 2025-01-27 17:21:31,234 131 2025-01-27 17:21:31.234,Changed,C:\TestFolder\report.xlsx,NT AUTHORITY\SYSTEM,DOMAIN\TestUser,File,18432,.xlsx,2025-01-27 17:21:31.234,2025-01-27 17:21:31.234,
INFO 2025-01-27 17:21:32,567 132 2025-01-27 17:21:32.567,Created,"C:\TestFolder\file,with,commas.csv",NT AUTHORITY\SYSTEM,DOMAIN\TestUser,File,5120,.csv,2025-01-27 17:21:32.567,2025-01-27 17:21:32.567,
ERROR 2025-01-27 17:21:33,890 133 2025-01-27 17:21:33.890,Changed,C:\TestFolder\system_file.sys,NT AUTHORITY\SYSTEM,SYSTEM,File,0,.sys,2025-01-27 17:21:33.890,2025-01-27 17:21:33.890,File is in use by another process
